Error	Level: Admin_S2	Actor: RRescuePoint_6	RRescuePoint_6 : Grapple point is not valid - please adjust or delete from the map.
Error	Level: Max_B1_CH267	Actor: RRescuePoint_1	RRescuePoint_1 : Multiple grapple points on one spot (2)!!.  Please delete un-needed points.
Error	Level: Max_B1_CH267	Actor: RRescuePoint_2	RRescuePoint_2 : Multiple grapple points on one spot (2)!!.  Please delete un-needed points.
Error	Level: Max_B1_CH5	Actor: RRescuePoint_0	RRescuePoint_0 : Multiple grapple points on one spot (2)!!.  Please delete un-needed points.
Error	Level: Max_B1_CH5	Actor: RRescuePoint_1	RRescuePoint_1 : Multiple grapple points on one spot (2)!!.  Please delete un-needed points.
Error	Level: Max_B1_CH5	Actor: RRescuePoint_2	RRescuePoint_2 : Multiple grapple points on one spot (2)!!.  Please delete un-needed points.
Error	Level: Max_A1_CH2567	Actor: RGrapplePoint_4	RGrapplePoint_4 : Multiple grapple points on one spot (2)!!.  Please delete un-needed points.
Error	Level: Max_A1_CH2567	Actor: RGrapplePoint_25	RGrapplePoint_25 : Multiple grapple points on one spot (2)!!.  Please delete un-needed points.
Error	Level: Max_A1_CH2567	Actor: RGrapplePoint_827	RGrapplePoint_827 : Multiple grapple points on one spot (2)!!.  Please delete un-needed points.
Error	Level: Max_A1_CH2567	Actor: RGrapplePoint_76	RGrapplePoint_76 : Multiple grapple points on one spot (2)!!.  Please delete un-needed points.
Error	Level: Max_A1_CH2567	Actor: RGrapplePoint_87	RGrapplePoint_87 : Multiple grapple points on one spot (2)!!.  Please delete un-needed points.
Error	Level: Max_A1_CH2567	Actor: RGrapplePoint_658	RGrapplePoint_658 : Multiple grapple points on one spot (2)!!.  Please delete un-needed points.
Error	Level: Max_A1	Actor: RCornerWallMarker_60	RCornerWallMarker_60 : Corner marker can't find valid cover position for batman but has been marked for use by BM.
Error	Level: Medical_B6	Actor: RGrapplePoint_3	RGrapplePoint_3 : Multiple grapple points on one spot (2)!!.  Please delete un-needed points.
Error	Level: Medical_B6	Actor: RGrapplePoint_1	RGrapplePoint_1 : Multiple grapple points on one spot (2)!!.  Please delete un-needed points.
Error	Level: Medical_B6	Actor: RGrapplePoint_61	RGrapplePoint_61 : Multiple grapple points on one spot (2)!!.  Please delete un-needed points.
Error	Level: Medical_B6	Actor: RGrapplePoint_17	RGrapplePoint_17 : Multiple grapple points on one spot (2)!!.  Please delete un-needed points.
Error	Level: Medical_C2	Actor: RRemoveableGrate_GroundLevel_0	RRemoveableGrate_GroundLevel_0 : Removable grate is not valid - it requires a space of 128x128x256 beside the grate.
Error	Level: Medical_A	Actor: RRemoveableGrate_Harpoon_0	RRemoveableGrate_Harpoon_0 : Removable grate is not valid - it requires a space of 128x128x256 beside the grate.
Error	Level: Cave_C1	Actor: RRemoveableGrate_Harpoon_0	RRemoveableGrate_Harpoon_0 : Removable grate is not valid - it requires a space of 128x128x256 beside the grate.
Error	Level: Cave_C1	Actor: RRemoveableGrate_Harpoon_1	RRemoveableGrate_Harpoon_1 : Removable grate is not valid - it requires a space of 128x128x256 beside the grate.
Error	Level: Cell_C2	Actor: RRemoveableGrate_Harpoon_0	RRemoveableGrate_Harpoon_0 : Removable grate is not valid - it requires a space of 128x128x256 beside the grate.
Error	Level: Cell_B3	Actor: RRemoveableGrate_Harpoon_1	RRemoveableGrate_Harpoon_1 : Removable grate is not valid - it requires a space of 128x128x256 beside the grate.
Error	Level: Overworld_C0	Actor: RRemoveableGrate_GroundLevel_1	RRemoveableGrate_GroundLevel_1 : Removable grate is not valid - it requires a space of 128x128x256 beside the grate.
Error	Level: Overworld_A1_CH2_Combat	Actor: RGrapplePoint_38	RGrapplePoint_38 : Multiple grapple points on one spot (6)!!.  Please delete un-needed points.
Error	Level: Overworld_A1_CH2_Combat	Actor: RGrapplePoint_49	RGrapplePoint_49 : Multiple grapple points on one spot (2)!!.  Please delete un-needed points.
Error	Level: Overworld_A1_CH2_Combat	Actor: RGrapplePoint_25	RGrapplePoint_25 : Multiple grapple points on one spot (2)!!.  Please delete un-needed points.
Error	Level: Overworld_A1_CH3	Actor: RGrapplePoint_38	RGrapplePoint_38 : Multiple grapple points on one spot (6)!!.  Please delete un-needed points.
Error	Level: Overworld_A1_CH3	Actor: RGrapplePoint_49	RGrapplePoint_49 : Multiple grapple points on one spot (2)!!.  Please delete un-needed points.
Error	Level: Overworld_A1_CH3	Actor: RGrapplePoint_25	RGrapplePoint_25 : Multiple grapple points on one spot (2)!!.  Please delete un-needed points.
Error	Level: Overworld_A1_CH4	Actor: RGrapplePoint_0	RGrapplePoint_0 : Multiple grapple points on one spot (6)!!.  Please delete un-needed points.
Error	Level: Overworld_A1_CH5	Actor: RGrapplePoint_39	RGrapplePoint_39 : Multiple grapple points on one spot (6)!!.  Please delete un-needed points.
Error	Level: Overworld_A1_CH6	Actor: RGrapplePoint_56	RGrapplePoint_56 : Multiple grapple points on one spot (6)!!.  Please delete un-needed points.
Error	Level: Overworld_A1_CH7	Actor: RGrapplePoint_65	RGrapplePoint_65 : Multiple grapple points on one spot (6)!!.  Please delete un-needed points.
Error	Level: PredDLC_A2	Actor: RCornerPointBase_26	RCornerPointBase_26 : Corner point is not valid - please adjust or delete from the map.
Error	Level: Admin_B2	Actor: RGrapplePoint_4	RGrapplePoint_4 : Grapple point is not valid - please adjust or delete from the map.
Error	Level: Admin_B2	Actor: RGrapplePoint_7	RGrapplePoint_7 : Grapple point is not valid - please adjust or delete from the map.
Error	Level: Admin_B2	Actor: RGrapplePoint_13	RGrapplePoint_13 : Grapple point is not valid - please adjust or delete from the map.
Error	Level: Admin_B2	Actor: RGrapplePoint_22	RGrapplePoint_22 : Grapple point is not valid - please adjust or delete from the map.
Error	Level: Admin_B2	Actor: RGrapplePoint_25	RGrapplePoint_25 : Grapple point is not valid - please adjust or delete from the map.
Error	Level: Admin_B2	Actor: RGrapplePoint_64	RGrapplePoint_64 : Multiple grapple points on one spot (2)!!.  Please delete un-needed points.
Error	Level: Admin_B2	Actor: RGrapplePoint_44	RGrapplePoint_44 : Multiple grapple points on one spot (2)!!.  Please delete un-needed points.
Error	Level: Admin_B2	Actor: RGrapplePoint_23	RGrapplePoint_23 : Multiple grapple points on one spot (2)!!.  Please delete un-needed points.
Error	Level: Admin_B2	Actor: RGrapplePoint_5	RGrapplePoint_5 : Multiple grapple points on one spot (2)!!.  Please delete un-needed points.
Error	Level: Admin_B2	Actor: RGrapplePoint_1366	RGrapplePoint_1366 : Multiple grapple points on one spot (2)!!.  Please delete un-needed points.
Error	Level: Admin_B2	Actor: RGrapplePoint_1359	RGrapplePoint_1359 : Multiple grapple points on one spot (2)!!.  Please delete un-needed points.
Error	Level: Admin_B2	Actor: RGrapplePoint_1336	RGrapplePoint_1336 : Multiple grapple points on one spot (2)!!.  Please delete un-needed points.
Error	Level: Admin_B2	Actor: RGrapplePoint_1329	RGrapplePoint_1329 : Multiple grapple points on one spot (2)!!.  Please delete un-needed points.
Error	Level: Admin_B2	Actor: RRemoveableGrate_Harpoon_1	RRemoveableGrate_Harpoon_1 : Removable grate is not valid - it requires a space of 128x128x256 beside the grate.
Error	Level: Admin_B2	Actor: RRemoveableGrate_Harpoon_2	RRemoveableGrate_Harpoon_2 : Removable grate is not valid - it requires a space of 128x128x256 beside the grate.
Error	Level: Max_A1_CH2567	Actor: RGrapplePoint_4	RGrapplePoint_4 : Multiple grapple points on one spot (2)!!.  Please delete un-needed points.
Error	Level: Max_A1_CH2567	Actor: RGrapplePoint_25	RGrapplePoint_25 : Multiple grapple points on one spot (2)!!.  Please delete un-needed points.
Error	Level: Max_A1_CH2567	Actor: RGrapplePoint_827	RGrapplePoint_827 : Multiple grapple points on one spot (2)!!.  Please delete un-needed points.
Error	Level: Max_A1_CH2567	Actor: RGrapplePoint_76	RGrapplePoint_76 : Multiple grapple points on one spot (2)!!.  Please delete un-needed points.
Error	Level: Max_A1_CH2567	Actor: RGrapplePoint_87	RGrapplePoint_87 : Multiple grapple points on one spot (2)!!.  Please delete un-needed points.
Error	Level: Max_A1_CH2567	Actor: RGrapplePoint_658	RGrapplePoint_658 : Multiple grapple points on one spot (2)!!.  Please delete un-needed points.
Error	Level: Max_A1	Actor: RCornerWallMarker_60	RCornerWallMarker_60 : Corner marker can't find valid cover position for batman but has been marked for use by BM.
Error	Level: Medical_A	Actor: RRemoveableGrate_Harpoon_0	RRemoveableGrate_Harpoon_0 : Removable grate is not valid - it requires a space of 128x128x256 beside the grate.
Error	Level: Finalcredits	Actor: WorldInfo_5	Maps need lighting rebuilt
Error	Level: <None>	Actor: None	Paths need to be rebuilt!
Error	Level: Benchmark	Actor: WorldInfo_0	Maps need lighting rebuilt
Error	Level: Max_A1	Actor: RCornerWallMarker_60	RCornerWallMarker_60 : Corner marker can't find valid cover position for batman but has been marked for use by BM.
